conference_acronym	conference_name	conference_location
IJE 2016 	 International Journal of Education	N/A
IJCSEA 2016 	 International Journal of Computer Science, Engineering and Applications 	N/A
EEIEJ 2016 	  Emerging Trends in Electrical, Electronics & Instrumentation Engineering: An international Journal 	N/A
JANT  2016 	 International Journal of Antennas	N/A
IJCSIT 2016 	 International Journal of Computer Science and Information Technology	N/A
IJOE 2016 	 International Journal on Organic Electronics	N/A
IJDMS 2016 	 International Journal of Database Management Systems 	N/A
DKMP 2017 	 Fifth International Conference on Data Mining & Knowledge Management Process	Dubai , UAE
CCSEA 2017 	 Seventh International Conference on Computer Science, Engineering and Applications	Dubai, UAE
IJDKP 2016 	 International Journal of Data Mining & Knowledge Management Process	N/A
Big Data Analytics@IJCNN 2017 	 Special Session: 'Large Datasets and Big Data Analytics: Theory, Methods, and Applications' at IJCNN 2017	Anchorage, Alaska, USA
 ACSTY 2016 	 Second International Conference on Advances in Computer Science and Information Technology	Chennai,India
IEEE TDSC Journal SI 2016 	 IEEE TDSC Special Issue on Data-Driven Dependability and Security	N/A
DMAP 2016 	 Second International Conference on Data Mining and Applications	Vienna, Austria
OPTLJ 2016 	 Integrated Optics and Lightwave : An International Journal	N/A
EAST - FLAIRS 2017 	 lEArning from heterogeneouS data analyTics - FLAIRS	Marco Island, Florida, USA
FLAIRS 2017 	 FLAIRS-30:  Special Track in Data Mining	Marco Island, Florida
BDAS 2017 	 13th (IEEE technically co-sponsored) International Conference Beyond Databases, Architectures and Structures	Ustron near Krakow (Cracow), Poland
ICBCT 2017 	 2017 International Conference on Bioinformatics and Computing Technologies (ICBCT 2017)	Hong Kong
Sideways 2017 	 Social Media World Sensors 2017	Madeira
IJCI 2016 	 International Journal on Cybernetics & Informatics	N/A
ICISDM 2017 	 2017 International Conference on Information System and Data Mining (ICISDM 2017)-SCOPUS,   Ei Compendex	South Carolina, USA
TIST UI 2017 	 ACM TIST Special Issue on Urban Intelligence	N/A
ITMLS 2017 	 Intelligent Technologies and Methodologies of Learning Systems	Barcelona - Spain
ITPF 2016 	 The 5th international conference on Information Technology, Present and Future	Mashhad,Iran
ICCSP 2017 	 International Conference on Cryptography, Security and Privacy - Ei Compendex and Scopus	Wuhan, China
ICKSE 2017 	 3rd International Conference on Knowledge and Software Engineering-Ei   Compendex, Scopus & ISI CPCS	Paris, France
WSDM Cup 2017 	 WSDM Cup 2017: Knowledge Base Quality and Search	Cambridge
KDD 2017 	 Knowledge Discovery and Data Mining	Halifax, Nova Scotia - Canada
ICOK 2017 	 2017 2nd International Conference on Knowledge (ICOK 2017)	Chengdu, China
ICBDA 2017 	 The 2017 IEEE International Conference on Big Data Analysis (ICBDA 2017) - Ei Compendex	Beijing, China 
IEA/AIE NAAD 2017 	 Special Track on Novel Approaches to Anomaly Detection	Arras, France
ICDPR 2017 	 2017 International Conference on Data Processing and Robotics (ICDPR 2017)—Ei&Scopus	Kuala Lumpur,Malaysia
SWJ - KB generation & population 2016 	 Semantic Web Journal - Special Issue on Machine Learning for Knowledge Base Generation and Population	N/A
IEEE-ICCCBDA 2017 	 2nd International Conference on Cloud Computing and Big Data Analysis ICCCBDA -IEEE,Ei Compendex	Chengdu, China
JWS-SS 2016 	 Journal of Web Semantics special issue on Semantic Statistics	N/A
ICASC 2017 	 International Conference on Advances in Soft Computing	Kanyakumari, India
DMCIT 2017 	 2017 International Conference on Data Mining, Communications and  Information Technology(DMCIT 2017)--Ei&Scopus	Phuket
SoMePeAS 2017 	 ECIR 2017 Workshop on “Social Media for Personalization And Search”	Aberdeen, Scotland (UK)
iDSC 2017 	 1st International Data Science Conference	Salzburg, Austria
HDMM 2017 	 2nd International Workshop on Health Data Management and Mining (HDMM) 2017	San Diego, CA
ISMIS 2017 	 23rd International Symposium on Methodologies for Intelligent Systems	Warsaw, Poland
ICCDM 2017 	 2nd International Conference on Computer and Digital Manufacturing	Singapore
EnGeoData - JDSA 2017 	 Special Issue on Environmental and Geospatial Data Analytics - International Journal of Data Science and Analytics, Springer	N/A
LDK 2017 	 Language, Data and Knowledge	Galway/Ireland
AIM@EPIA 2017 	 Artificial Intelligence in Medicine	Porto, Portugal
ECML-PKDD 2017 	 European Conference on Machine Learning and Principles and Practice of Knowledge Discovery	Skopje, Macedonia
IEEE ITOEC 2017 	 2017 IEEE 3rd Information Technology and Mechatronics Engineering Conference 	Chongqing
INIT/AERFAISummerSchoolML 2017 	 INIT/AERFAI Summer School on Machine Learning	Benicàssim (Spain)
DSAA 2017 	 The 4th IEEE International Conference on Data Science and Advanced Analytics 2017	Tokyo, Japan
JANT  2016 	 International Journal of Antennas	N/A
IJOE 2016 	 International Journal on Organic Electronics	N/A
IJDMS 2016 	 International Journal of Database Management Systems 	N/A
IJCSIT 2016 	 International Journal of Computer Science and Information Technology	N/A
IJCSEA 2016 	 International Journal of Computer Science, Engineering and Applications 	N/A
IJE 2016 	 International Journal of Education	N/A
EEIEJ 2016 	  Emerging Trends in Electrical, Electronics & Instrumentation Engineering: An international Journal 	N/A
IFAC World Congress SIMCA 2017 	 IFAC WORLD CONGRESS '2017 OPEN INVITED TRACK on SYSTEM IDENTIFICATION for MANUFACTURING CONTROL APPLICATIONS	Toulouse, France
SWM 2017 	 1st Workshop on Scholarly Web Mining	Cambridge, UK
SPTM 2016 	 Fourth International Conference of Security, Privacy and Trust Management	Chennai, India
ICKE 2017 2017 	 2017 3rd International Conference on Knowledge Engineering (ICKE 2017)	Tokyo, Japan
IEEE BigComp 2017 	 [Deadline Extension Oct 21, 2016] 2017 IEEE International Conference on Big Data and Smart Computing	Jeju Island
ICNCC - ACM 2016 	 5th International Conference on Network, Communication and Computing - ACM	Kyoto, Japan
Archiving 2017 	 IS&T Archiving Conference 2017	Riga, Latvia
DASFAA 2017 	 The 22nd International Conference on Database Systems for Advanced Applications	Suzhou
ECSA 2016 	 3rd International Electronic Conference on Sensors and Applications - Smart Systems and Structures	online
ICINS-ACM 2016 	 2016 4th International Conference on Information and Network Security (ICINS 2016)--Ei Compendex	Kuala Lumpur, Malaysia
PAKDD 2017 	 The 21st Pacific-Asia Conference on Knowledge Discovery and Data Mining	Jeju Island, Korea
L@S 2017 	 L@S 2017: Fourth Annual ACM Conference on Learning at Scale	Massachusetts Institute of Technology, C
BigGraphs 2016 	 Third IEEE Big Data Workshop on High Performance Big Graph Data Management, Analysis, and Mining	Washington, D.C.
BigGraphs 2016 	 The 3rd IEEE Big Data Workshop on High Performance Big Graph Data Management, Analysis, and Mining	Washington, D.C.
CDKP  2016 	 Fifth International Conference on Data Mining & Knowledge Management Process 	Dubai,UAE
SIGNAL 2016 	 Third International Conference on Signal and Image Processing	Dubai, UAE
SDM 2017 	 SDM'17: the Seventeenth SIAM International Conference on Data Mining	Houston, Texas, USA
ICDE 2017 	 IEEE INTERNATIONAL CONFERENCE ON DATA ENGINEERING 2017 	San Diego
TMNZ 2016 	 First New Zealand Text Mining Workshop	Hamilton, New Zealand
INCISCOS 2016 	 International Conference on Information Systems and Computer Science	Quito, Ecuador
ADS 2017 	 ACIIDS 2017 Special Session on Applications of Data Science	Kanazawa, Japan
MAMLAKE 2017 	 Special Session on Modern Applications of Machine Learning for Actionable Knowledge Extraction	Kanazawa, Japan
SABID 2016 	 Workshop on Solar & Stellar Astronomy BIg Data	Washington, DC, USA
CPSCom 2016 	 The 9th IEEE International Conference on Cyber, Physical and Social Computing	Chengdu, Sichuan, China
GreenCom 2016 	 The 12th IEEE International Conference on Green Computing and Communications	Chengdu, Sichuan, China
iThings 2016 	 The 9th IEEE International Conference on Internet of Things	Chengdu, Sichuan, China
SmartData 2016 	 The 2016 IEEE International Symposium on Smart Data	Chengdu, Sichuan, China
SDAAM 2017 	 IEEE Symposium on Data Analytics for Advanced Manufacturing	Washington DC
MSA 2016 	  Multivariate Statistical Analysis MSA 2016	Łódź
IC-ININFO 2016 	 International Conference on Integrated Information	Athens, Greece
