conference_acronym 1,conference_year,conference_name,conference_location
DKMP,2017,Fifth International Conference on Data Mining & Knowledge Management Process,Dubai
CCSEA,2017,Seventh International Conference on Computer Science  Engineering and Applications,Dubai
IJCNN,2017,International Joint Conference on Neural Networks,Anchorage
ACSTY,2016,Second International Conference on Advances in Computer Science and Information Technology,Chennai
DMAP,2016,Second International Conference on Data Mining and Applications,Vienna
FLAIRS,2017,FLAIRS-30:  Special Track in Data Mining,Marco_Island
BDAS,2017,13th (IEEE technically co-sponsored) International Conference Beyond Databases  Architectures and Structures,Ustron
ICBCT,2017,2017 International Conference on Bioinformatics and Computing Technologies (ICBCT 2017),Hong_Kong
Sideways,2017,Social Media World Sensors 2017,Madeira
ICISDM,2017,2017 International Conference on Information System and Data Mining,South_Carolina
ITMLS,2017,Intelligent Technologies and Methodologies of Learning Systems,Barcelona
ITPF,2016,The 5th international conference on Information Technology  Present and Future,Mashhad
ICCSP,2017,International Conference on Cryptography  Security and Privacy,Wuhan
ICKSE,2017,3rd International Conference on Knowledge and Software Engineering,Paris
WSDM,2017,International Conference on Web Search and Data Mining,Cambridge
KDD,2017,Knowledge Discovery and Data Mining,Halifax
ICOK,2017,2017 2nd International Conference on Knowledge (ICOK 2017),Chengdu
ICBDA,2017,2017 IEEE International Conference on Big Data Analysis,Beijing
IEA/AIE,2017,Special Track on Novel Approaches to Anomaly Detection,Arras
ICDPR,2017,2017 International Conference on Data Processing and Robotics,Kuala_Lumpur
IEEE-ICCCBDA,2017,2nd International Conference on Cloud Computing and Big Data Analysis,Chengdu
ICASC,2017,International Conference on Advances in Soft Computing,Kanyakumari
DMCIT,2017,2017 International Conference on Data Mining  Communications and  Information Technology,Phuket
SoMePeAS,2017,ECIR 2017 Workshop on “Social Media for Personalization And Search”,Aberdeen
iDSC,2017,1st International Data Science Conference,Salzburg
HDMM,2017,2nd International Workshop on Health Data Management and Mining (HDMM) 2017,San_Diego
ISMIS,2017,23rd International Symposium on Methodologies for Intelligent Systems,Warsaw
ICCDM,2017,2nd International Conference on Computer and Digital Manufacturing,Singapore
LDK,2017,Language  Data and Knowledge,Galway
AIM,2017,Artificial Intelligence in Medicine,Porto
ECML-PKDD,2017,European Conference on Machine Learning and Principles and Practice of Knowledge Discovery  Skopje,Skopje
IEEE-ITOEC,2017,2017 IEEE 3rd Information Technology and Mechatronics Engineering Conference,Chongqing
SummerSchoolML,2017,INIT/AERFAI Summer School on Machine Learning,Benicassim
DSAA,2017,The 4th IEEE International Conference on Data Science and Advanced Analytics 2017,Tokyo
SIMCA,2017,IFAC WORLD CONGRESS '2017 OPEN INVITED TRACK on SYSTEM IDENTIFICATION for MANUFACTURING CONTROL APPLICATIONS,Toulouse
SWM,2017,1st Workshop on Scholarly Web Mining,Cambridge
SPTM,2016,Fourth International Conference of Security  Privacy and Trust Management,Chennai
ICKE,2017,2017 3rd International Conference on Knowledge Engineering (ICKE 2017),Tokyo
IEEE-BigComp,2017,2017 IEEE International Conference on Big Data and Smart Computing,Jeju_Island
ICNCC-ACM,2016,5th International Conference on Network  Communication and Computing - ACM,Kyoto
Archiving,2017,IS&T Archiving Conference 2017,Riga
DASFAA,2017,The 22nd International Conference on Database Systems for Advanced Applications,Suzhou
ECSA,2016,3rd International Electronic Conference on Sensors and Applications - Smart Systems and Structures,Online
ICINS-ACM,2016,2016 4th International Conference on Information and Network Security,Kuala_Lumpur
PAKDD,2017,The 21st Pacific-Asia Conference on Knowledge Discovery and Data Mining,Jeju_Island
L@S,2017,L@S 2017: Fourth Annual ACM Conference on Learning at Scale,Massachusetts_Institute_of_Technology
BigGraphs,2016,Third IEEE Big Data Workshop on High Performance Big Graph Data Management  Analysis  and Mining,Washington_DC
SIGNAL,2016,Third International Conference on Signal and Image Processing,Dubai
SDM,2017,SDM'17: the Seventeenth SIAM International Conference on Data Mining,Houston
ICDE,2017,IEEE INTERNATIONAL CONFERENCE ON DATA ENGINEERING 2017,San_Diego
